epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.381,3.12867,5.82997,3.96271,0.52303,0.00454,0.00525,0.00183,3.07368,9.89666,3.6156,0.000367959,0.000367959,0.000367959
2,851.532,2.5517,4.33489,3.01903,0.2719,0.22142,0.21054,0.10663,2.40402,3.81175,2.84527,0.000710181,0.000710181,0.000710181
3,1275.48,2.11922,3.01132,2.44486,0.51254,0.36027,0.37153,0.193,1.97146,2.63259,2.28299,0.0010242,0.0010242,0.0010242
4,1682.96,1.85223,2.36969,2.13854,0.66281,0.37702,0.42411,0.2424,1.90881,2.6292,2.14781,0.00098409,0.00098409,0.00098409
5,2090.85,1.71224,1.99941,1.98293,0.68188,0.468,0.51203,0.32025,1.72107,2.15007,2.04729,0.000941786,0.000941786,0.000941786
6,2499.71,1.59102,1.75407,1.8372,0.70239,0.48539,0.55535,0.36295,1.53184,1.93618,1.82574,0.000899483,0.000899483,0.000899483
7,2906.66,1.51751,1.5651,1.76691,0.74571,0.54202,0.62031,0.40417,1.49121,1.73002,1.75003,0.000857179,0.000857179,0.000857179
8,3315.92,1.43887,1.4333,1.67874,0.72549,0.49573,0.58164,0.38554,1.50152,2.52718,1.77448,0.000825843,0.000825843,0.000825843
9,3735.17,1.3826,1.34009,1.62716,0.79806,0.5958,0.67274,0.4469,1.40932,1.4597,1.66831,0.000785107,0.000785107,0.000785107
10,4158.56,1.34079,1.26613,1.57629,0.79575,0.64149,0.71669,0.48621,1.37331,1.34674,1.64705,0.00074437,0.00074437,0.00074437
11,4578.4,1.27633,1.183,1.52138,0.80861,0.67518,0.75344,0.53898,1.23332,1.16549,1.51745,0.000687965,0.000687965,0.000687965
12,4989.92,1.24584,1.13108,1.49733,0.80172,0.61712,0.70922,0.48547,1.36124,1.29541,1.62819,0.000645662,0.000645662,0.000645662
13,5408.37,1.18315,1.07965,1.43963,0.85873,0.66716,0.77208,0.54503,1.20569,1.10152,1.49616,0.000603358,0.000603358,0.000603358
14,5828.89,1.16122,1.02788,1.41844,0.80462,0.70803,0.78131,0.56133,1.14996,1.09203,1.44478,0.000561055,0.000561055,0.000561055
15,6248.3,1.12459,0.99911,1.39332,0.8555,0.72797,0.81367,0.58726,1.14935,0.99288,1.4357,0.000518752,0.000518752,0.000518752
16,6664.01,1.11287,0.97716,1.37085,0.85116,0.71615,0.79064,0.57578,1.1336,1.00627,1.41865,0.000476448,0.000476448,0.000476448
17,7067.9,1.0786,0.93834,1.33873,0.86476,0.73573,0.82222,0.60531,1.07912,0.92779,1.38064,0.000434145,0.000434145,0.000434145
18,7473.17,1.05655,0.90424,1.32303,0.83167,0.75517,0.83116,0.61744,1.06747,0.89992,1.35561,0.000391841,0.000391841,0.000391841
19,7885.15,1.03639,0.90127,1.30108,0.8697,0.75083,0.82992,0.60896,1.07426,0.91679,1.35936,0.00037774,0.00037774,0.00037774
20,8293.55,1.00586,0.85915,1.28648,0.87002,0.76707,0.84333,0.63276,1.02845,0.87335,1.32706,0.000337003,0.000337003,0.000337003
21,8696.77,1.00033,0.83416,1.26755,0.88024,0.76859,0.8528,0.63936,1.0218,0.83125,1.31591,0.000296267,0.000296267,0.000296267
22,9127.53,0.97762,0.81768,1.2678,0.88801,0.75029,0.83519,0.62872,1.00019,0.88198,1.30294,0.00025553,0.00025553,0.00025553
23,9547.93,0.95915,0.80281,1.25255,0.89351,0.77083,0.85753,0.64198,1.00486,0.81455,1.2902,0.000214793,0.000214793,0.000214793
24,9973.53,0.94575,0.78165,1.23753,0.87311,0.7972,0.85925,0.65963,0.95382,0.80766,1.26128,0.000174057,0.000174057,0.000174057
25,10397.9,0.93949,0.78865,1.21825,0.90172,0.79389,0.8657,0.66587,0.9376,0.77135,1.24504,9.57169e-05,9.57169e-05,9.57169e-05
26,10818.5,0.89964,0.75758,1.20003,0.89877,0.79545,0.86856,0.67516,0.92326,0.75383,1.23084,5.34135e-05,5.34135e-05,5.34135e-05
