epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.62,0.91994,2.6216,1.08592,0.84099,0.75469,0.81127,0.6235,0.92089,2.02666,1.04041,0.000367959,0.000367959,0.000367959
2,958.006,0.95124,1.64798,1.08954,0.74529,0.68984,0.74765,0.57481,0.93766,1.64052,1.07324,0.000710181,0.000710181,0.000710181
3,1376.55,0.94153,1.32363,1.08233,0.84302,0.75358,0.82026,0.61559,0.97529,1.33415,1.08562,0.00101319,0.00101319,0.00101319
4,1793.76,0.92749,1.08988,1.0817,0.82639,0.73812,0.78401,0.6,0.95934,1.15185,1.09917,0.000973514,0.000973514,0.000973514
5,2201.21,0.87799,0.89667,1.04512,0.7522,0.63839,0.7045,0.54148,0.96268,1.39512,1.09836,0.000935018,0.000935018,0.000935018
6,2623.24,0.86208,0.84345,1.03801,0.8905,0.83583,0.8912,0.69798,0.85201,0.82887,1.00653,0.000891022,0.000891022,0.000891022
7,3045.16,0.82899,0.75626,1.01756,0.90586,0.81686,0.88761,0.70006,0.8378,0.75782,0.98537,0.000847026,0.000847026,0.000847026
8,3461.99,0.80971,0.72509,1.00503,0.89737,0.83125,0.89962,0.71323,0.80678,0.70625,0.9692,0.000803031,0.000803031,0.000803031
9,3885.15,0.79531,0.67044,1.00096,0.90572,0.86713,0.91516,0.72163,0.80014,0.66702,0.96012,0.000759035,0.000759035,0.000759035
10,4307,0.77342,0.63997,0.98253,0.92551,0.85264,0.91851,0.73039,0.80092,0.65693,0.9684,0.000730269,0.000730269,0.000730269
11,4726.62,0.77175,0.62252,0.98723,0.92603,0.83476,0.91867,0.73608,0.78888,0.63671,0.95548,0.000687965,0.000687965,0.000687965
12,5136.26,0.76376,0.5987,0.97773,0.93789,0.85652,0.92757,0.73876,0.78942,0.62023,0.95121,0.000645662,0.000645662,0.000645662
13,5545.23,0.73358,0.57485,0.96194,0.91092,0.85982,0.92057,0.75182,0.73891,0.60723,0.92385,0.000603358,0.000603358,0.000603358
14,5964.51,0.72407,0.55735,0.95474,0.91709,0.88258,0.93007,0.75003,0.76283,0.57161,0.93482,0.000561055,0.000561055,0.000561055
15,6381.83,0.71182,0.54181,0.95092,0.92244,0.88221,0.93309,0.75638,0.74571,0.55582,0.93744,0.000518752,0.000518752,0.000518752
16,6797.11,0.7005,0.52819,0.94165,0.92456,0.88706,0.94119,0.76931,0.72372,0.53427,0.91477,0.000476448,0.000476448,0.000476448
17,7220.89,0.69289,0.50515,0.94018,0.92968,0.88112,0.9405,0.76771,0.73079,0.53835,0.91869,0.000434145,0.000434145,0.000434145
18,7642.72,0.68661,0.48535,0.93938,0.90815,0.90787,0.94405,0.77544,0.71566,0.51654,0.91827,0.000391841,0.000391841,0.000391841
19,8061.85,0.67498,0.47078,0.93576,0.93678,0.88482,0.94476,0.77923,0.71099,0.50474,0.91315,0.000349538,0.000349538,0.000349538
20,8481.64,0.66203,0.45569,0.92358,0.9341,0.89055,0.94413,0.7782,0.69722,0.50401,0.90352,0.000307234,0.000307234,0.000307234
21,8923.16,0.64682,0.43738,0.91165,0.92417,0.90127,0.95017,0.78508,0.68744,0.49186,0.89744,0.000264931,0.000264931,0.000264931
22,9348.25,0.63689,0.4271,0.91371,0.93056,0.90405,0.94928,0.78973,0.68051,0.47642,0.89188,0.000222627,0.000222627,0.000222627
23,9766.63,0.62849,0.41688,0.91051,0.92159,0.91156,0.952,0.79294,0.68102,0.46126,0.89465,0.000180324,0.000180324,0.000180324
24,10185.7,0.62648,0.40359,0.90646,0.92509,0.91043,0.95318,0.79664,0.67322,0.45605,0.89038,0.00013802,0.00013802,0.00013802
25,10604.7,0.61203,0.39553,0.89918,0.93001,0.91032,0.95619,0.79899,0.66782,0.45398,0.88893,9.57169e-05,9.57169e-05,9.57169e-05
26,10852.8,0.60999,0.39223,0.90307,0.92736,0.91991,0.95675,0.80069,0.66342,0.44502,0.88513,5.34135e-05,5.34135e-05,5.34135e-05
